date,desc
Sonntag 26. März 09:45, Leiter
Sonntag 2. April 09:45, Schlauchwerfen
Montag 22 Mai 19:00, Schaumübung
Sonntag 18. Juni 09:45, Funken
Sonntag 09. Juli 09:45, Löschen
Sonntag 13. August 09:45, Erste Hilfe
Montag 11. September 19:00, Löschübung in Brand
Sonntag 08. Oktober 09:45, Löschübung in Schellenberg
Sonntag 12. November 09:45, Einwinterung
